Job Title,Job Link,Company Name,Location,Salary,Post Date,Job Description,Skills,Last Date to Apply,Expiry
Plush Sales Exe in Hyderabad location,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=JlFVmpbK%2FOQ%3D&RowId=JlFVmpbK%2FOQ%3D&OJ=7k4L7QQ5IOM%3D,SANTA EVENTZ & EXHIBITIONS PRIVATE LIMITED,Hyderabad; Telangana,198000 - 204000 (per annum),2025-07-07,Company: Plush Profile : Store Sales Executive Promoter Qualification : 12th Graduate Salary Up to Rs 18000Rs + PF & ESIC + Insurance + Incentive (Hike as per the last Salary) Experience: Minimum 6 months of Experience in Retail Sales (Counter Sales). Local & English Language Required Gender : Femal...,PROMOTER;retail,2025-08-06,Currently Open
Plush Sales Exe in Bangalore location,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=DN8ZYg2QiIs%3D&RowId=DN8ZYg2QiIs%3D&OJ=7k4L7QQ5IOM%3D,SANTA EVENTZ & EXHIBITIONS PRIVATE LIMITED,Bangalore; Karnataka,198000 - 204000 (per annum),2025-07-07,Company: Plush Profile : Store Sales Executive Promoter Qualification : 12th Graduate Salary Up to Rs 18000Rs + PF & ESIC + Insurance + Incentive (Hike as per the last Salary) Experience: Minimum 6 months of Experience in Retail Sales (Counter Sales). Local & English Language Required Gender : Femal...,PROMOTER;retail,2025-08-06,Currently Open
Plush Sales Exe in Chennai location,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=Qj8CB%2BcBlno%3D&RowId=Qj8CB%2BcBlno%3D&OJ=7k4L7QQ5IOM%3D,SANTA EVENTZ & EXHIBITIONS PRIVATE LIMITED,Chennai; Tamil Nadu,198000 - 204000 (per annum),2025-07-07,Company: Plush Profile : Store Sales Executive Promoter Qualification : 12th Graduate Salary Up to Rs 18000Rs + PF & ESIC + Insurance + Incentive (Hike as per the last Salary) Experience: Minimum 6 months of Experience in Retail Sales (Counter Sales). Local & English Language Required Gender : Femal...,PROMOTER;retail,2025-08-06,Currently Open
Hathway Broadband Bangalore,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=n56kymfee%2FE%3D&RowId=n56kymfee%2FE%3D&OJ=7k4L7QQ5IOM%3D,SANTA EVENTZ & EXHIBITIONS PRIVATE LIMITED,Bangalore; Karnataka,264000 - 276000 (per annum),2025-07-07,"Work experience Minimum 1 to 2 Years of Experience in Direct Sales (DoortoDoor Sales) from Broadband - Telecom Connection Sales, Credit Card Sales Skills Required- Direct Sales Promotional Activities Cold Calling Ability to Achieve set targets every month on month Enthusiastic and Proactive Good Com...",Card;DoortoDoor;Telecom Connection,2025-08-06,Currently Open
Field Sales Promoter VI DL NCR,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=ca1QRU9loYY%3D&RowId=ca1QRU9loYY%3D&OJ=7k4L7QQ5IOM%3D,SANTA EVENTZ & EXHIBITIONS PRIVATE LIMITED,Delhi,216000 - 222000 (per annum),2025-07-07,"Monthly Offered Up to 22K + PF + ESIC + Incentive + Insurance and Hike on Current Monthly on basis of Last Monthly in hand & Experience and Fresher can also apply who are willing to work in field, promoter, salesexecutive, salespromoter",PROMOTER;salesexecutive;salespromoter,2025-08-06,Currently Open
VI Promoter Rajasthan,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=wOUxi7zl3Bk%3D&RowId=wOUxi7zl3Bk%3D&OJ=7k4L7QQ5IOM%3D,SANTA EVENTZ & EXHIBITIONS PRIVATE LIMITED,Bikaner; Kota; Rajasthan; Udaipur; Jaipur; Jodhpur,138000 - 144000 (per annum),2025-07-07,"Urgent hiring for Field Sales Promoter in reputed Telecom company (Vodafone Idea Limited) Locations: Rajasthan (Bikaner, Jaipur, Jodhpur, Kota, Udaipur) Qualification: 12th Or Any Graduate Experience required: Minimum 1 and 2 year experience in any Direct sales, B2B & B2C Sales, Telecom sales Salary...",Marketing;PROMOTER;Telecom;b2c;B2B,2025-08-06,Currently Open
Noritake Pro Crockery,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=PgzlsUj2Cl0%3D&RowId=PgzlsUj2Cl0%3D&OJ=7k4L7QQ5IOM%3D,SANTA EVENTZ & EXHIBITIONS PRIVATE LIMITED,Chennai; Tamil Nadu,234000 - 240000 (per annum),2025-07-07,Noritake has been bringing Luxury beauty crockery products and quality to dining tables around the world In Hand + PF + ESIC + Insurance + Incentive Can speak Tamil and Local Language and Hindi or English Manageable Job Profile: Offering premium customer service to high-profile clientele. Representi...,passion;centric;clientele Representing luxury;Luxury beauty crockery;Noritake,2025-08-06,Currently Open
SECURITY GUARD,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=ODQvK1v3%2BC8%3D&RowId=ODQvK1v3%2BC8%3D&OJ=7k4L7QQ5IOM%3D,SML ISUZU LIMITED,Punjab; Solan; Himachal Pradesh,Not Specified,2025-07-07,"SML ISUZU LIMITED is manufacturer of Light commercial Vehicles for cargo. requires security guard, fire safety officer in ropar, nawashahar, punjab and baddi, h.p.",Security;guard;BADDI;nawashahar;ropar,2025-08-06,Currently Open
JUNIOR SUPERVISOR SAFETY ELECTRICAL ON FIXED TERM CONTRACT BASIS,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=AOvDHd50nnk%3D&RowId=AOvDHd50nnk%3D&OJ=7k4L7QQ5IOM%3D,GOASHIPYARDLTD,All India,Not Specified,2025-07-07,Please refer detailed Advertisement No. 04 2025 for the job description. Please visit Notice Board Careers GSL Careers Section of Goa Shipyard Limited website.,website;Shipyard;Careers GSL Careers,2025-08-06,Currently Open
JUNIOR SUPERVISOR PAINT ON FIXED TERM CONTRACT BASIS,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=HjndebmArxc%3D&RowId=HjndebmArxc%3D&OJ=7k4L7QQ5IOM%3D,GOASHIPYARDLTD,All India,Not Specified,2025-07-07,Please refer detailed Advertisement No. 04 2025 for the job description. Please visit Notice Board Careers GSL Careers Section of Goa Shipyard Limited website.,website;Shipyard;Careers GSL Careers,2025-08-06,Currently Open
ASSISTANT SUPERINTENDENT FINANCE ON FIXED TERM CONTRACT BASIS,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=My478YOcN24%3D&RowId=My478YOcN24%3D&OJ=7k4L7QQ5IOM%3D,GOASHIPYARDLTD,All India,Not Specified,2025-07-07,Please refer detailed Advertisement No. 04 2025 for the job description. Please visit Notice Board Careers GSL Careers Section of Goa Shipyard Limited website.,website;Shipyard;Careers GSL Careers,2025-08-06,Currently Open
ASSISTANT SUPERINTENDENT HINDI TRANSLATOR ON FIXED TERM CONTRACT BASIS,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=pXsZZuf5fT0%3D&RowId=pXsZZuf5fT0%3D&OJ=7k4L7QQ5IOM%3D,GOASHIPYARDLTD,All India,Not Specified,2025-07-07,Please refer detailed Advertisement No. 04 2025 for the job description. Please visit Notice Board Careers GSL Careers Section of Goa Shipyard Limited website.,website;Shipyard;Careers GSL Careers,2025-08-06,Currently Open
TECHNICAL ASSISTANT MECHANICAL ON FIXED TERM CONTRACT BASIS,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=RYFbIw3stxQ%3D&RowId=RYFbIw3stxQ%3D&OJ=7k4L7QQ5IOM%3D,GOASHIPYARDLTD,All India,Not Specified,2025-07-07,Please refer detailed Advertisement No. 04 2025 for the job description. Please visit Notice Board Careers GSL Careers Section of Goa Shipyard Limited website.,website;Shipyard;Careers GSL Careers,2025-08-06,Currently Open
TECHNICAL ASSISTANT ELECTRICAL ELECTRONICS ON FIXED TERM CONTRACT BASIS,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=pIOwpnxwabU%3D&RowId=pIOwpnxwabU%3D&OJ=7k4L7QQ5IOM%3D,GOASHIPYARDLTD,All India,Not Specified,2025-07-07,Please refer detailed Advertisement No. 04 2025 for the job description. Please visit Notice Board Careers GSL Careers Section of Goa Shipyard Limited website.,website;Shipyard;Careers GSL Careers,2025-08-06,Currently Open
TECHNICAL ASSISTANT SHIPBUILDING ON FIXED TERM CONTRACT BASIS,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=5klSTkcM7cU%3D&RowId=5klSTkcM7cU%3D&OJ=7k4L7QQ5IOM%3D,GOASHIPYARDLTD,All India,Not Specified,2025-07-07,Please refer detailed Advertisement No. 04 2025 for the job description. Please visit Notice Board Careers GSL Careers Section of Goa Shipyard Limited website.,website;Shipyard;Careers GSL Careers,2025-08-06,Currently Open
NURSE MALE ON FIXED TERM CONTRACT BASIS,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=EPfd5WSQ8yU%3D&RowId=EPfd5WSQ8yU%3D&OJ=7k4L7QQ5IOM%3D,GOASHIPYARDLTD,All India,Not Specified,2025-07-07,Please refer detailed Advertisement No. 04 2025 for the job description. Please visit Notice Board Careers GSL Careers Section of Goa Shipyard Limited website.,website;Shipyard;Careers GSL Careers,2025-08-06,Currently Open
OFFICE ASSISTANT CLERICAL STAFF ON FIXED TERM CONTRACT BASIS,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=phT5ITDtvkE%3D&RowId=phT5ITDtvkE%3D&OJ=7k4L7QQ5IOM%3D,GOASHIPYARDLTD,All India,Not Specified,2025-07-07,Please refer detailed Advertisement No. 04 2025 for the job description. Please visit Notice Board Careers GSL Careers Section of Goa Shipyard Limited website.,website;Shipyard;Careers GSL Careers,2025-08-06,Currently Open
OFFICE ASSISTANT CLERICAL STAFF DELHI OFFICE ON FIXED TERM CONTRACT BASIS,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=DC%2F4f%2BEzv3A%3D&RowId=DC%2F4f%2BEzv3A%3D&OJ=7k4L7QQ5IOM%3D,GOASHIPYARDLTD,All India,Not Specified,2025-07-07,Please refer detailed Advertisement No. 04 2025 for the job description. Please visit Notice Board Careers GSL Careers Section of Goa Shipyard Limited website.,website;Shipyard;Careers GSL Careers,2025-08-06,Currently Open
OFFICE ASSISTANT FINANCE IA ON FIXED TERM CONTRACT BASIS,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=tKObhH%2BDHcw%3D&RowId=tKObhH%2BDHcw%3D&OJ=7k4L7QQ5IOM%3D,GOASHIPYARDLTD,All India,Not Specified,2025-07-07,Please refer detailed Advertisement No. 04 2025 for the job description. Please visit Notice Board Careers GSL Careers Section of Goa Shipyard Limited website.,website;Shipyard;Careers GSL Careers,2025-08-06,Currently Open
SHIPWRIGHT FITTER ON FIXED TERM CONTRACT BASIS,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=tJwm4RubLGY%3D&RowId=tJwm4RubLGY%3D&OJ=7k4L7QQ5IOM%3D,GOASHIPYARDLTD,All India,Not Specified,2025-07-07,Please refer detailed Advertisement No. 04 2025 for the job description. Please visit Notice Board Careers GSL Careers Section of Goa Shipyard Limited website.,website;Shipyard;Careers GSL Careers,2025-08-06,Currently Open
STRUCTURAL FITTER ON FIXED TERM CONTRACT BASIS,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=KLLMJJmTgMw%3D&RowId=KLLMJJmTgMw%3D&OJ=7k4L7QQ5IOM%3D,GOASHIPYARDLTD,All India,Not Specified,2025-07-07,Please refer detailed Advertisement No. 04 2025 for the job description. Please visit Notice Board Careers GSL Careers Section of Goa Shipyard Limited website.,website;Shipyard;Careers GSL Careers,2025-08-06,Currently Open
WELDER ON FIXED TERM CONTRACT BASIS,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=Dkh40ukcns0%3D&RowId=Dkh40ukcns0%3D&OJ=7k4L7QQ5IOM%3D,GOASHIPYARDLTD,All India,Not Specified,2025-07-07,Please refer detailed Advertisement No. 04 2025 for the job description. Please visit Notice Board Careers GSL Careers Section of Goa Shipyard Limited website.,website;Shipyard;Careers GSL Careers,2025-08-06,Currently Open
MACHINIST ON FIXED TERM CONTRACT BASIS,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=1x88jQZJZZs%3D&RowId=1x88jQZJZZs%3D&OJ=7k4L7QQ5IOM%3D,GOASHIPYARDLTD,All India,Not Specified,2025-07-07,Please refer detailed Advertisement No. 04 2025 for the job description. Please visit Notice Board Careers GSL Careers Section of Goa Shipyard Limited website.,website;Shipyard;Careers GSL Careers,2025-08-06,Currently Open
SAFETY STEWARDS ON FIXED TERM CONTRACT BASIS,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=Q4Xj3Cze1XI%3D&RowId=Q4Xj3Cze1XI%3D&OJ=7k4L7QQ5IOM%3D,GOASHIPYARDLTD,All India,Not Specified,2025-07-07,Please refer detailed Advertisement No. 04 2025 for the job description. Please visit Notice Board Careers GSL Careers Section of Goa Shipyard Limited website.,website;Shipyard;Careers GSL Careers,2025-08-06,Currently Open
PAINTER ON FIXED TERM CONTRACT BASIS,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=%2BYVeXWlqCzs%3D&RowId=%2BYVeXWlqCzs%3D&OJ=7k4L7QQ5IOM%3D,GOASHIPYARDLTD,All India,Not Specified,2025-07-07,Please refer detailed Advertisement No. 04 2025 for the job description. Please visit Notice Board Careers GSL Careers Section of Goa Shipyard Limited website.,website;Shipyard;Careers GSL Careers,2025-08-06,Currently Open
Teacher,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=YLKDP7B61vc%3D&RowId=YLKDP7B61vc%3D&OJ=7k4L7QQ5IOM%3D,AAM Foundation,Bulandshahr; Uttar Pradesh,Not Specified,2025-07-07,"We are an NGO named Freedom Employability Academy. Mission - move 5 million people from low income to middle income. Our free classes build ethical, productive mindsets and core employability skills, including English language and digital literacy. We are working in rural areas.",English Language;positive mindset,2025-08-06,Currently Open
INTERVIEWS ARE GOING ON BRANCH BANKING IN ALL INDIA FOR A XIS BANK DSA HR DEPARTMENT,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=L0gsHwC2KrU%3D&RowId=L0gsHwC2KrU%3D&OJ=7k4L7QQ5IOM%3D,Lifestyle International Private Limited,All India,224400 - 388800 (per annum),2025-07-06,INTERVIEWS ARE GOING ON BRANCH BANKING IN ALL INDIA FOR A XIS BANK DSA HR ANKIT. Urgent HIRING NOTICE FOR BRANCH BANKING EXECUTIVE. JOB LOCATION- ALL OVER INDIA. GENDER- MALE & FEMALE BOTH CAN APPLY. JOB PROFILE- 01. BRANCH BANKING EXECUTIVE 02. DATA ENTRY OPERATOR 03. KYC VERIFICATION OFFICER. AGE-...,Data Entry Operator;CV;ANKIT;Dsa;Passport Size Photo;KYC VERIFICATION,2025-08-05,Currently Open
URGENT HIRING FOR FRESHERS AND EXPERIENCED HDFC BANK DSA HR MOU,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=FMBZK1V6kjA%3D&RowId=FMBZK1V6kjA%3D&OJ=7k4L7QQ5IOM%3D,LUCKNOW ROYAL INFRADEVELOPERS PRIVATE LIMITED,All India,Not Specified,2025-07-06,DSA NOTICE FOR BRANCH BANKING. Job Location - Nearest branch. Gender - Male & female both JOB PROFILE 1.Branch banking Executive In - House. 2. Data Entry Operator. 3. Operations Executive. 4. KYC Verification Officer. Location - Depends on your nearest branch. REQUIRED CRITERIA Age - 18 to 30 year....,Data Entry;Dsa;KYC VERIFICATION;Banking;MOU 8336991660,2025-08-05,Currently Open
URGENT HIRING AT H D F C B A N K BRANCH BANKING DSA,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=FXgLo8Ay288%3D&RowId=FXgLo8Ay288%3D&OJ=7k4L7QQ5IOM%3D,LUCKNOW ROYAL INFRADEVELOPERS PRIVATE LIMITED,All India,Not Specified,2025-07-06,There is a great opportunity for fresher and experienced candidates to join renowned banks in branch banking roles within the DSA segment Minimum qualification is 12th pass or graduation and both male and female candidates aged 18 to 35 years are eligible to apply Pay scale ranges from 15000 to 3000...,Computer Operator;Data Entry;30000 rupees;RUSHA 7449609316;Good Communication Skill;Banking;Operator,2025-08-05,Currently Open
Operation Executive,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=nvbnfadqLOk%3D&RowId=nvbnfadqLOk%3D&OJ=7k4L7QQ5IOM%3D,CHANDRA BHAN,Etawah; Uttar Pradesh,Not Specified,2025-07-05,Content Creation Create short and long videos for platforms including product showcases educational content and client testimonials Edit images for ecommerce listings including background removal resizing and formatting Design banners and promotional materials for online use Ecommerce and Social Med...,Ecommerce;Images;listings;upload;Video Content Creator,2025-08-04,Currently Open
Backend Developer,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=n4nMDMxCFcE%3D&RowId=n4nMDMxCFcE%3D&OJ=7k4L7QQ5IOM%3D,MANNUBHAI (SERVICE EXPERT),Gurugram (Gurgaon); Haryana,300000 - 720000 (per annum),2025-07-05,"Develop and maintain backend services using PHP Laravel, CodeIgniter or the MERN Stack Design and manage databases with MySQL NoSQL MongoDB and Firebase Build and integrate RESTful APIs and web services Collaborate with frontend developers and cross-functional teams Use Git for version control and t...",web;Codeigniter;PHP Laravel;git;Frontend,2025-08-04,Currently Open
AC Category Executive,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=QmvX%2Fr2tbnM%3D&RowId=QmvX%2Fr2tbnM%3D&OJ=7k4L7QQ5IOM%3D,MANNUBHAI (SERVICE EXPERT),Gurugram (Gurgaon); Haryana,180000 - 300000 (per annum),2025-07-05,We are hiring 2 Female AC Category Executives for our Gurgaon branch The ideal candidates should have 1 to 3 years of experience in sales or a service oriented role Candidates must be fluent in Hindi with good English communication skills confident in interacting with customers and capable of achiev...,gurgaon;interacting;AC Category,2025-08-04,Currently Open
IT Admin Executive,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=y71OV4BLgvI%3D&RowId=y71OV4BLgvI%3D&OJ=7k4L7QQ5IOM%3D,MANNUBHAI (SERVICE EXPERT),Gurugram (Gurgaon); Haryana,180000 - 300000 (per annum),2025-07-05,Provide basic IT support hardware software troubleshooting printer Wi Fi setup etc Coordinate with vendors for IT equipment AMC and repairs Maintain records for office assets IT inventory and AMC renewals Handle administrative responsibilities like stationery management filing and visitor coordinati...,AMC;visitor;stationery;AMC renewals;printer Wi Fi setup,2025-08-04,Currently Open
AC Category Manager,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=cLEH7416jaI%3D&RowId=cLEH7416jaI%3D&OJ=7k4L7QQ5IOM%3D,MANNUBHAI (SERVICE EXPERT),Gurugram (Gurgaon); Haryana,144000 - 300000 (per annum),2025-07-05,We are hiring an AC Category Manager for our Gurgaon location The ideal candidate should be confident well-presented and experienced in client handling product sales and team training The role focuses on managing the Air Conditioner category and ensuring performance across sales inventory and custom...,gurgaon;AC Category;Conditioner category,2025-08-04,Currently Open
Beauty Sales Executive,https://www.ncs.gov.in/job-seeker/Pages/ViewJobDetails.aspx?A=w1BcJXzB%2BW4%3D&U=&JSID=565dCPIMPrg%3D&RowId=565dCPIMPrg%3D&OJ=7k4L7QQ5IOM%3D,MANNUBHAI (SERVICE EXPERT),Gurugram (Gurgaon); Haryana,144000 - 300000 (per annum),2025-07-05,"We are hiring a Beauty Sales Executive for our Gurgaon location. The candidate should be fluent in Hindi with good English communication skills and should have prior experience in sales or a similar customer-facing industry. The role requires confident interaction with clients, building strong relat...",interaction;gurgaon;beauty,2025-08-04,Currently Open
