Job Title,Job Link,Company Name,Location,Salary,Posted Text,Post Date,Job Age,Job Description,Last Date to Apply,Expiry
Import & Logistics Executive,"https://www.glassdoor.co.in/job-listing/import-logistics-executive-vardhman-airport-solutions-JV_KO0,26_KE27,53.htm?jl=1008000011101",Vardhman Airport Solutions,India,,30d+,2025-06-06,30,"Job Description
Key words: Commercial, Supply Chain , Logistics , Purchase , Materials, Import, Export, Inbound & Outbound Logistics, Customer clearance, INCO terms, High sea sales, Invoicing, billing, MIS,
About our Company: Vardhman Airport Solutions Pvt Ltd is a premier organization providing quality product, solution and services for Airfield Lighting system, Visual docking guidance system, Photometric equipment & Security Systems for commercial & defence airports to elevate the airside infrastructure to the next level.
We are authorized representative and distributor of atg airports (U.K), FB technology ( France), RLG Docking Systems(USA), Unika( Turkey) and many more OEMs which help us to deliver the best product & solution for Airports. The equipment offered are designed to meet IEC, FAA, and ICAO requirements.
The company has been promoted by senior industry professionals with proven track record of working in global MNC’s. The promoters brings best international practices in Airport solutions with hands on experience of almost 20 years.
Position: Import & Logistics Executive
Short Description: We are looking for passionate, active and dedicated individual who can manage materials, logistics and supply chain function for our Airport Business. If you are good at independently handling Supply chain, Vendor Management & Import Logistics, this is the right job for you. The company is promoted by industry veterans and is growing rapidly and offer ample growth opportunity. Salary & remuneration will not be a constraint for right candidate
Supply Chain and Logistics
Ensuring logistics of imported and indigenous goods by coordinating with international and local freight forwarders for timely delivery of goods as per requirement of operations team.
Handle dispatch Documents
Ensuring all documents are meeting bank norms, filling bank forms and formalities for forex transactions for all imports
Preparation of Reconciliation Statement
Logistics
Arranging by air and sea shipment pick up at all origin through freight forwarder/shipping line/ Airline by coordinating with international suppliers and local customers.
Arranging booking & managing shipping schedule for sea and airport movement and checking all draft HAWB docs in advance
Tracking and keeping records of the vessel / flights once it leaves the origin and update MIS for all concerned stakeholders
Follow up with supplier for commercial documents as well as original documents for clearance
Arranging all required documents in advance such as pre-alert, original documents – Inv PL, HAWB, FRT, FDS, bond, Sale, purchase, custom letter in case of HSS shipment, security, authority letter for DO delivery collection
Arranging shipping line debit note, detention, security, freight forwarder charges
Coordinating with commercial dept for procurement certificate, self-clearance team for shipment clearance
Coordinating with procurement/store/CFS/ shipper/freight forwarder/shipping line/ transporter and end customer for delivery.
Vendor Evaluation, Vendor Reconciliation
Checking & processing freight forwarder bills as per bid and transportation bills
Arranging payment of Delivery order, freight forwarder and detention charges if any
Arranging for DO delivery/Customer clearance/ transportation.
Well versed in handling computers and experience of working on MS Word, Excel, Power Point
Possess excellent analytical, Communication (Written & Verbal) & problem-solving abilities.
Ability to effectively analyze accounting information and financial records for organization.
Detail oriented and organized in work.
Ability to work cooperatively and collaboratively with all levels of employees, management and external customers.
Ability to effectively organize and structure activities on daily basis, prioritize and manage multiple tasks simultaneously and work to a deadline.
Self-motivated, proactive, with a desire to learn/grow.
Well versed to arrange all Local transportation within India.
Have knowledge of LCL, FCL, DG LCL and DG FCL.
Must have good contacts with Shipping lines & Air Lines for taking freight Negotiation.
Must have good contact with CHAs, Transporters.
Education & Experience: B.Com. / M. Com. / or Any Graduate with similar relevant experience of 3 to 7 years",2025-07-06,Currently Open
Logistics Operator,"https://www.glassdoor.co.in/job-listing/logistics-operator-cencora-JV_IC2851180_KO0,18_KE19,26.htm?jl=1009767687884",Cencora3.5,Mumbai,₹5L - ₹8L (Glassdoor Est.),30d+,2025-06-06,30,"Our team members are at the heart of everything we do. At Cencora, we are united in our responsibility to create healthier futures, and every person here is essential to us being able to deliver on that purpose. If you want to make a difference at the center of health, come join our innovative company and help us improve the lives of people and animals everywhere. Apply today!
Job Details
World Courier offers specialized healthcare logistics solutions designed to meet the unique needs of pharmaceutical companies globally. Our expertise in navigating complex regulations, ensuring timely deliveries, and maintaining temperature-controlled environments makes us a trusted partner in critical healthcare product transportation. Our full range of medical logistics solutions keep your momentum going.
At World Courier, we provide comprehensive healthcare logistics services that encompass various aspects of medical supply chain management. From clinical trials to commercial supply chains, our solutions are tailored to ensure efficiency, compliance, and reliability.
Responsibilities:
Comply with World Courier Standard Operating Procedures (SOP), which contain specific instructions to take the steps concerning the reception and shipment of materials
Compare the material received with the documentation forwarded in order to certify concordance or disagreement
Prepare box contents according to what´s described on WC Packing List
The Operator must have the training and the capability required to control materials characteristics (described in their labels): ID number, expiration date, patient’s kit, and temperature and storage conditions as well as any additional information that could be useful
The Operator must be specifically trained in order to perform activities related to shipments such as the packaging preparation, box closing and labeling
Perform activities on the Operative System CTM-STAR related to the Inbound, Outbound, Return and Relocation processes
Have deep knowledge and carry out relabeling, stock, balance and relocations processes developed at the Facility
Perform any other duties the employee has been trained for
.
Requirements:
English language
Experience logistics/warehouse - will be a plus
Bachelor Degree
Computer skills
Adaptability to working hours: morning and afternoon shifts - Monday to Saturday
Good communication skills
Pleasant & proactive manner
Attention to detail
Initiative and commonsense
Reliable and accountable
Ability to work in a team environment
What Cencora offers
Benefit offerings outside the US may vary by country and will be aligned to local market practice. The eligibility and effective date may differ for some benefits and for team members covered under collective bargaining agreements.
Full time
Affiliated Companies
Affiliated Companies: World Courier (India) Private Limited
Equal Employment Opportunity
Cencora is committed to providing equal employment opportunity without regard to race, color, religion, sex, sexual orientation, gender identity, genetic information, national origin, age, disability, veteran status or membership in any other class protected by federal, state or local law.
The company’s continued success depends on the full and effective utilization of qualified individuals. Therefore, harassment is prohibited and all matters related to recruiting, training, compensation, benefits, promotions and transfers comply with equal opportunity principles and are non-discriminatory.
Cencora is committed to providing reasonable accommodations to individuals with disabilities during the employment process which are consistent with legal requirements. If you wish to request an accommodation while seeking employment, please call 888.692.2272 or email [email protected]. We will make accommodation determinations on a request-by-request basis. Messages and emails regarding anything other than accommodations requests will not be returned",2025-07-06,Currently Open
Materials Handling,"https://www.glassdoor.co.in/job-listing/materials-handling-microsoft-JV_IC2856202_KO0,18_KE19,28.htm?jl=1009798603817",Microsoft4.2,Pune,,4d,2025-07-02,4,"As a Microsoft Data Center Inventory & Asset Technician (DIAT), you will perform cycle audits, execute incoming/outgoing deliveries, coordinate security escorts for third-party vendors, and document inbound and outbound deliveries as instructed by management. You will initiate warranty claims and process returns on failed equipment. This opportunity will allow you to build working knowledge of inventory management principles, warranty process management, data bearing device destruction, and advance your career in the process.
Microsoft’s Cloud Operations & Innovation (CO+I) is the engine that powers our cloud services. As a CO+I DIAT, you will perform a key role in delivering the core infrastructure and foundational technologies for Microsoft's online services including Bing, Office 365, Xbox, OneDrive, and the Microsoft Azure platform. As a group, CO+I is focused on the personal and professional development of all employees and offers training and opportunities including Career Rotation Programs, Diversity & Inclusion training and events, and professional certifications.
Our infrastructure is comprised of a large global portfolio of more than 200 Data Centers in 32 countries and millions of servers. Our foundation is built upon and managed by a team of subject matter experts working to support services for more than 1 billion customers and 20 million businesses in over 90 countries worldwide.
With environmental sustainability and optimization at the forefront of our data center design and operations, we continue to grow and evolve as we meet the ever-changing business demands that hold Microsoft as a world-class cloud provider.
Microsoft’s mission is to empower every person and every organization on the planet to achieve more. As employees we come together with a growth mindset, innovate to empower others, and collaborate to realize our shared goals. Each day we build on our values of respect, integrity, and accountability to create a culture of inclusion where everyone can thrive at work and beyond.
Responsibilities
Responsibilities
Perform assigned tasks and escalate issues during high-volume work activity or escalation-based situations under the guidance of more experienced Data Center colleagues.
Coordinate with suppliers to initiate warranty claim and process failed vendor hardware devices. This includes information processing, packaging, shipment, and receipt of return for Return Merchandise Authorization (RMA) devices following all Service Level Agreements (SLAs) related to RMA warranty process.
Develop working knowledge of stock control and inventory management practices and procedures.
Ensure accurate documentation of incoming and outgoing deliveries as well as records.
Become familiar with guidelines set by Microsoft contractual agreements with suppliers and maintain a strong customer focus.
Perform cycle audits and data corrections to ensure all inventory controls are met.
Help to reconcile and report inventory discrepancies.
Ensure detailed physical inventory tracking and staging.
Under the supervision of more experienced Data Center colleagues, destruction of data bearing devices (DBD) following all Service Level Agreements (SLAs) and Microsoft policies.
Comply with all security and data management policies.
Embody our culture and values.
Qualifications
Required Qualifications
High School Diploma AND 6 months experience or an internship in inventory management, retail, warehouse management, or a related field
OR equivalent experience.
Background Check Requirements:
Ability to meet Microsoft, customer and/or government security screening requirements are required for this role. These requirements include, but are not limited to the following specialized security screenings:
Microsoft Cloud Background Check: This position will be required to pass the Microsoft Cloud background check upon hire/transfer and every two years thereafter.
While not required, we also look for the following Preferred Qualifications:
1+ years’ experience in warehouse/supply chain in an information technology (IT) environment, IT, and/or logistics, operating heavy-load movement equipment (e.g., forklift, pallet jacks, chassis lifts) for a large corporation
OR equivalent experience.

Microsoft is an equal opportunity employer. Consistent with applicable law, all qualified applicants will receive consideration for employment without regard to age, ancestry, citizenship, color, family or medical care leave, gender identity or expression, genetic information, immigration status, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran or military status, race, ethnicity, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable local laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application process, read more about requesting accommodations.",2025-08-01,Currently Open
Team Leader - Warehouse,"https://www.glassdoor.co.in/job-listing/team-leader-warehouse-nokia-JV_KO0,21_KE22,27.htm?jl=1009799461294",NOKIA4.0,India,,3d,2025-07-03,3,"Responsible for leading and supervising warehouse shift operations, ensuring timely material handling, putaway, picking, and dispatch. The Team Leader coordinates manpower, enforces safety and 5S standards, monitors shift KPIs, and ensures smooth communication between shifts and cross-functional teams.
Supervise and coordinate all warehouse activities during the assigned shift to ensure smooth, uninterrupted operations.
Assign daily responsibilities to team members and monitor their performance to achieve shift targets efficiently.
Ensure timely and accurate execution of material putaway, picking, staging, and dispatch processes.
Enforce safety standards, proper PPE usage, and adherence to 5S practices throughout the shift.
Support inventory accuracy through regular cycle counts, quick resolution of discrepancies, and accurate SAP/WMS transactions.
Maintain detailed shift handover logs, communicate updates to the next shift, and promptly escalate operational issues for resolution.
Train and support new team members on warehouse SOPs and safety practices, while contributing to performance monitoring and continuous improvement efforts.
You Have:
Diploma or degree from Logistics, Supply Chain Management, Mechanical, or Industrial Engineering background with 3 plus years of experience in material handling, inventory transactions, and MHE coordination
Proficient in Microsoft Excel, including Pivot Tables, VLOOKUP, and basic data analysis for shift reporting
Familiarity with SAP/WMS tools preferred
Prior experience in a team lead or supervisory role is an advantage
It would be nice if you also have:
Certifications in Warehouse Management Systems (WMS), Lean, or Safety (e.g., IOSH) are added advantages
Come create the technology that helps the world act together


Nokia is committed to innovation and technology leadership across mobile, fixed and cloud networks. Your career here will have a positive impact on people’s lives and will help us build the capabilities needed for a more productive, sustainable, and inclusive world.

We challenge ourselves to create an inclusive way of working where we are open to new ideas, empowered to take risks and fearless to bring our authentic selves to work


What we offer


Nokia offers continuous learning opportunities, well-being programs to support you mentally and physically, opportunities to join and get supported by employee resource groups, mentoring programs and highly diverse teams with an inclusive culture where people thrive and are empowered.


Nokia is committed to inclusion and is an equal opportunity employer


Nokia has received the following recognitions for its commitment to inclusion & equality:

One of the World’s Most Ethical Companies by Ethisphere
Gender-Equality Index by Bloomberg
Workplace Pride Global Benchmark


At Nokia, we act inclusively and respect the uniqueness of people. Nokia’s employment decisions are made regardless of race, color, national or ethnic origin, religion, gender, sexual orientation, gender identity or expression, age, marital status, disability, protected veteran status or other characteristics protected by law.

We are committed to a culture of inclusion built upon our core value of respect.


Join us and be part of a company where you will feel included and empowered to succeed.",2025-08-02,Currently Open
Logistics Specialist II,"https://www.glassdoor.co.in/job-listing/logistics-specialist-ii-ftc-solar-JV_IC2833209_KO0,23_KE24,33.htm?jl=1009733500215",FTC Solar3.0,Chennai,₹3L - ₹5L (Glassdoor Est.),30d+,2025-06-06,30,"About FTC Solar Inc
FTC Solar is a fast growing, global provider of solar tracker systems, technology, software, and engineering services. We are as passionate about renewable energy as we are about our culture and values. We want to attract likeminded individuals who live and breathe Integrity, Accountability, Innovation and Excellence. We’re humble enough to know that we don’t know everything, so we love bold ideas that disrupt the status quo. Basically, we don’t want you to just fall in line!
FTC Solar is committed to creating a culture of inclusion and diversity. For us, this is not just a set of words or metrics. It drives our culture, creativity, and future success. We support our employees and foster an environment where new ideas and perspectives are celebrated and encouraged. When our employees thrive, FTC Solar thrives. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status.
About the Role:
The Logistics Specialist II plays a crucial role in ensuring the efficient and effective management of the supply chain operations within our organization. This position is responsible for coordinating logistics activities, including warehousing, inventory control, and international shipping, to optimize the flow of goods and materials. The specialist will analyze logistics processes and implement improvements to enhance operational efficiency and reduce costs. Additionally, this role involves collaborating with various departments to ensure that all logistics operations align with the company's strategic goals. Ultimately, the Logistics Specialist II contributes to the overall success of the organization by ensuring timely delivery and high-quality service to our customers.
Minimum Qualifications:
Bachelor's degree in Logistics, Supply Chain Management, or a related field.
2+ years of experience in logistics or supply chain operations.
Preferred Qualifications:
Certification in logistics or supply chain management (e.g., APICS, CLTD).
Experience with logistics management software and tools.
Responsibilities:
Manage and oversee daily logistics operations, including warehousing and inventory management.
Coordinate international shipping activities, ensuring compliance with regulations and timely delivery.
Analyze logistics processes and identify areas for improvement to enhance efficiency and reduce costs.
Collaborate with cross-functional teams to align logistics strategies with business objectives.
Monitor and report on key performance indicators related to logistics operations.
Skills:
The required skills in logistics management and warehousing are essential for overseeing the daily operations of the supply chain. Proficiency in international shipping and reverse logistics allows the specialist to navigate complex regulations and ensure compliance. Strong inventory control skills are utilized to maintain optimal stock levels and minimize waste. Additionally, expertise in logistics operations enables the specialist to analyze processes and implement improvements effectively. Preferred skills, such as familiarity with logistics management software, enhance the ability to streamline operations and improve overall efficiency.

WORKING CONDITIONS
FTC Solar offers competitive wages, growth opportunities, and a comprehensive benefits package.",2025-07-06,Currently Open
Specialist - FP&A,"https://www.glassdoor.co.in/job-listing/specialist-fpa-bristlecone-JV_KO0,14_KE15,26.htm?jl=1009776702953",Bristlecone3.8,India,,23d,2025-06-13,23,"MS Excel SME/Expert who understands basics of Finance/Accounts and expert in managing large work sheets and complex structure, expert in macro automations
ABOUT US :
Bristlecone is the leading provider of AI-powered application transformation services for the connected supply chain. We empower our customers with speed, visibility, automation, and resiliency – to thrive on change.
Our transformative solutions in Digital Logistics, Cognitive Manufacturing, Autonomous Planning, Smart Procurement and Digitalization are positioned around key industry pillars and delivered through a comprehensive portfolio of services spanning digital strategy, design and build, and implementation across a range of technology platforms.
Bristlecone is ranked among the top ten leaders in supply chain services by Gartner. We are headquartered in San Jose, California, with locations across North America, Europe and Asia, and over 2,500 consultants. Bristlecone is part of the $19.4 billion Mahindra Group.

EQUAL OPPORTUNITY EMPLOYER:
Bristlecone is an equal opportunity employer. All applicants will be considered for employment without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status .

INFORMATION SECURITY RESPONSIBILITIES:
Understand and adhere to Information Security policies, guidelines and procedure, practice them for protection of organizational data and Information System.
Take part in information security training and act while handling information.
Report all suspected security and policy breach to InfoSec team or appropriate authority (CISO).
Understand and adhere to the additional information security responsibilities as part of the assigned job role.",2025-07-13,Currently Open
Intern - Data Analyst,"https://www.glassdoor.co.in/job-listing/intern-data-analyst-20cube-logistics-JV_IC2833209_KO0,19_KE20,36.htm?jl=1009799456116",20Cube Logistics4.0,Chennai,,3d,2025-07-03,3,"Title: Data Analyst Intern

Location: Chennai
Duration: 6 months to 1 Year Internship, with possibility of employment based on performance
About Us:
We are a multi-cultural team of over 1500+ individuals, led by industry veterans and having a single-minded focus on making trade easy. Our culture is People-first. With employees citing “Loyalty, Belongingness and Feeling Valued” as one of the key reasons to be a part of the company, it is not a surprise that we have highly engaged team.
We welcome people who are talented, innovative, sharp, career oriented and passionate. We continuously encourage our people to broaden their horizon and fulfil potential. We give platform to every employee to learn and grow individually and contribute to overall growth of the organization.


Position Overview:

We are looking for a highly motivated and detail-oriented Data Analyst Intern with an engineering background and a strong interest or academic exposure in accounting and finance. This internship offers an excellent opportunity to gain hands-on experience working with financial data and business intelligence tools to generate actionable insights that support strategic decision-making. The ideal candidate will demonstrate strong logical reasoning, data interpretation capabilities, and a solid grasp of financial principles. You will work closely with cross-functional teams including Finance, Business Intelligence, and Operations, contributing to the analysis, visualization, and reporting of financial and business performance metrics.


Key Responsibilities:

Extract, clean, and analyze large volumes of financial data to support business performance reviews.
Interpret and understand financial statements, budgets, cost structures, and key accounting metrics.
Assist in designing, building, and maintaining interactive dashboards and performance reports using Excel, Tableau, and Power BI.
Develop visualizations to track KPIs, financial ratios, and business trends.
Perform monthly and quarterly variance analyses comparing actuals against forecasts and budgets.
Identify trends and patterns to assist in forecasting and planning activities.
Ensure data accuracy, consistency, and integrity across reports and dashboards.
Support in validating and reconciling financial data from multiple sources.
Work alongside finance professionals and analysts to understand reporting requirements and deliver insightful outputs.
Participate in internal review meetings and contribute with data-driven recommendations.


Education:

Pursuing or recently completed a Bachelor’s degree in Engineering.
Academic exposure to Accounting, Financial Management, or Business Analytics is strongly preferred.


Skills & Competencies:

Basic understanding of accounting concepts such as P&L, balance sheets, cash flows, and financial ratios.
Interest in corporate finance, budgeting, and financial reporting processes.
Strong logical reasoning and quantitative analysis capabilities.
Proficient in Microsoft Excel (formulas, pivot tables, charts, lookups).
Working knowledge of Tableau or Power BI for visualization and reporting.
Basic understanding of SQL or Python for data querying (optional, added advantage).
Familiarity with ERP or financial systems (e.g., SAP, Oracle) is a plus.
High attention to detail and commitment to data accuracy.
Effective communication and collaboration skills.
Proactive learner with a growth mindset.


What You’ll Gain:

Exposure to real-world financial data and reporting frameworks.
Experience in business intelligence tools and financial performance analysis.
Opportunity to work in a collaborative, fast-paced environment with mentorship from experienced finance professionals.
A stepping stone toward roles in FP&A, business analytics, or financial consulting.",2025-08-02,Currently Open
Senior Analyst - Logistics,"https://www.glassdoor.co.in/job-listing/senior-analyst-logistics-flex-ltd-JV_IC2856202_KO0,24_KE25,33.htm?jl=1009784361475",Flex LTD3.8,Pune,₹4L - ₹5L (Glassdoor Est.),17d,2025-06-19,17,"Flex is the diversified manufacturing partner of choice that helps market-leading brands design, build and deliver innovative products that improve the world.
A career at Flex offers the opportunity to make a difference and invest in your growth in a respectful, inclusive, and collaborative environment. If you are excited about a role but don't meet every bullet point, we encourage you to apply and join us to create the extraordinary.
Job Summary
To support our extraordinary teams who build great products and contribute to our growth, we’re looking to add a Senior Analyst – Logistics in Pune, India.
The Senior Analyst - Logistics should quickly and accurately process purchase orders in a fast-paced environment. Additionally, should have excellent stake holders service skills and works well in a team to consistently meet challenging performance targets.
What a typical day looks like:
Procure ad hoc rates to support solution requirements - air / ocean / express
Managing the rate validity & variable rates
Manage and maintain the transportation analysis and decision support systems
Transportation Rate Benchmarks
Monthly Site Metrics and Logistics Savings Plans Reporting
Develop rate databases
Maintain Global Transportation Rates with suppliers
Contract Management
The experience we’re looking to add to our team:
Education: Bachelor’s Degree
Experience: 0 – 3 years
Proficiency: ERP/P2P systems BAAN / SAP/ Oracle
Mandatory Knowledge of computer software applications, MS Excel, Word & PowerPoint (PF).
Excellent communication skills MANDATORY
Here are a few examples of what you will get for the great work you provide:
Health Insurance
PTO
Job Category
Global Procurement & Supply Chain
Required Skills:
Optional Skills:
Flex pays for all costs associated with the application, interview or offer process, a candidate will not be asked for any payment related to these costs.
Flex is an Equal Opportunity Employer and employment selection decisions are based on merit, qualifications, and abilities. We do not discriminate based on: age, race, religion, color, sex, national origin, marital status, sexual orientation, gender identity, veteran status, disability, pregnancy status, or any other status protected by law. We're happy to provide reasonable accommodations to those with a disability for assistance in the application process. Please email [email protected] and we'll discuss your specific situation and next steps (NOTE: this email does not accept or consider resumes or applications. This is only for disability assistance. To be considered for a position at Flex, you must complete the application process first).",2025-07-19,Currently Open
"Global Supply Manager, International Logistics","https://www.glassdoor.co.in/job-listing/global-supply-manager-international-logistics-tesla-JV_IC2851180_KO0,45_KE46,51.htm?jl=1009737017120",Tesla3.5,Mumbai,₹4L (Glassdoor Est.),30d+,2025-06-06,30,"What to Expect
We’re looking for highly motivated logistics professional to support Global Logistics procurement.
This role can be based in India
The ideal candidate will be responsible for developing the strategy, running RFP’s, vendor management, understanding and procuring services per operations and business requirements.
The candidate will be looking after all logistics activities related to business verticals for Tesla Motors and Energy as well as spare parts and service logistics.
The candidate must have a track record of significant achievements, tremendous drive, and a willingness to roll up their sleeves.
What You'll Do Owner of RFI's, RFP's and RFQ's - ensuring all commercial terms are agreed and documented
 Ensures NDA, SOW's and Master Purchase Agreement are positioned appropriately before business is initiated
 Develop strategies around the Finished Vehicle, Warehousing, Customs and Service Parts Logistics industries to drive price negotiations processes and ensure best in-class pricing
 Knowledge of vehicle transport, ground trucking market, 3PL's, Air, Ocean and LTL contracts
 Responsible for maintaining productive global transportation and ancillary service contracts
 Drive continual cost reduction and avoidance initiatives through strategic price negotiations
 Address all areas of Special Equipment management related to category business plans, global market and pricing analysis and procurement support
 Lead purchasing activities with internal stakeholders: Finance, Energy Distribution, Logistics Operations, Trade Teams and Engineering departments and develop bid specifications, negotiate contracts, and consolidate results to deliver sourcing recommendations
 Analyse current spend and evaluate current suppliers
 Consolidate spend across supply base to create leverage, analyse purchasing trends and develop sourcing alternatives. Identify new high potential suppliers on global basis
 Conduct negotiations and secure comprehensive agreements with suppliers
 Maintain a high level of industry expertise and supplier/market conditions Manage respective supplier relationships and performance, including but not limited to dispute resolution
 Develop key performance measures for chosen suppliers and negotiate on multiple variables to award longer-term strategic contracts that result in significant cost reduction and improved service levels
 Evaluate supplier business proposals and present recommendations that will result in cost savings, avoidance, or containment
 Develop sourcing and negotiation strategies that deliver against business objectives and achieves sustainable relationships with suppliers
 Create competitive environments with suppliers to support a negotiation strategy
 Evaluate and provide guidance on final selection of suppliers; Perform value analysis for final selection of suppliers
Evaluate supplier core competencies and competitive positioning using industry cost models

What You'll Bring Bachelor’s degree in business, Supply Chain, Operations Management, Engineering and/or equivalent experience in Supply Chain or evidence of exceptional ability
 Ability to multi-task, prioritize and work in an extremely fast-paced environment Project related experience in Special Logistic Equipment Services
 5-6+ years of related experience in Vendor management
 Master’s in supply chain and / or related field or MBA in supply chain preferred
 Track record in planning, execution, and delivery of projects.
 Program management expertise
 Knowledge of purchasing processes (SOP's, RFP / RFQ / RFI's, PO's etc.)
 Superior negotiation, organization, analytical, and communication skills, ability to work in a fast-paced environment and deliver high quality results
 Excellent written and oral communication, and interpersonal skills, including an ability to effectively communicate across all levels of an organization, technical and non-technical audience
Tesla is an Equal Opportunity / Affirmative Action employer committed to diversity in the workplace. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, age, national origin, disability, protected veteran status, gender identity or any other factor protected by applicable federal, state or local laws.

Tesla is also committed to working with and providing reasonable accommodations to individuals with disabilities. Please let your recruiter know if you need an accommodation at any point during the interview process.",2025-07-06,Currently Open
Materials Handling,"https://www.glassdoor.co.in/job-listing/materials-handling-microsoft-JV_IC2833209_KO0,18_KE19,28.htm?jl=1009800276339",Microsoft4.2,Chennai,₹5L - ₹8L (Glassdoor Est.),3d,2025-07-03,3,"As a Microsoft Data Center Inventory & Asset Technician (DIAT), you will perform cycle audits, execute incoming/outgoing deliveries, coordinate security escorts for third-party vendors, and document inbound and outbound deliveries. This opportunity will allow you to deepen your knowledge of inventory management principles, warranty process management, data bearing device destruction and advance your career in the process.
Microsoft’s Cloud Operations & Innovation (CO+I) is the engine that powers our cloud services. As a CO+I DIAT, you will perform a key role in delivering the core infrastructure and foundational technologies for Microsoft's online services including Bing, Office 365, Xbox, OneDrive, and the Microsoft Azure platform. As a group, CO+I is focused on the personal and professional development of all employees and offers training and opportunities including Career Rotation Programs, Diversity & Inclusion training and events, and professional certifications.
Our infrastructure is comprised of a large global portfolio of more than 200 Data Centers in 32 countries and millions of servers. Our foundation is built upon and managed by a team of subject matter experts working to support services for more than 1 billion customers and 20 million businesses in over 90 countries worldwide.
With environmental sustainability and optimization at the forefront of our data center design and operations, we continue to grow and evolve as we meet the ever-changing business demands that hold Microsoft as a world-class cloud provider.
Microsoft’s mission is to empower every person and every organization on the planet to achieve more. As employees we come together with a growth mindset, innovate to empower others, and collaborate to realize our shared goals. Each day we build on our values of respect, integrity, and accountability to create a culture of inclusion where everyone can thrive at work and beyond.
Responsibilities
Responsibilities
Perform assigned tasks and escalate issues during high-volume work activity or escalation-based situations.
Coordinate with suppliers to initiate warranty claim and process failed vendor hardware devices. This includes information processing, packaging, shipment, and receipt of return for Return Merchandise Authorization (RMA) devices following all Service Level Agreements (SLAs) related to RMA warranty process.
Leverage process knowledge and best judgment to complete tasks with minimal direct supervision.
Maintains a strong focus to understand the impact of their work when completing tickets and assigned Inventory and Asset Management (IAM) tasks.
Maintains and steward up-to-date and accurate logical information within various inventory management systems (e.g., configuration management databases, asset management repositories).
Ensures detailed physical inventory tracking and staging.
Help to reconcile and report inventory discrepancies.
Performs destruction of data bearing devices (DBD) following all Service Level Agreements (SLAs) and Microsoft policies as necessary.
Notifies management about ordering stock shortages. Escalates any issues to management.
Comply with security and data management policies.
Embody our culture and values.
Qualifications
Required Qualifications
High School Diploma AND 1+ year(s) experience warehouse/supply chain in an information technology (IT) environment, inventory management, retail, warehouse management, or a related field.
OR equivalent experience.
Ability to work shifts, including shift assignments during non-standard business hours that may include evening, nighttime, weekends, and/or holidays
Background Check Requirements:
Ability to meet Microsoft, customer and/or government security screening requirements are required for this role. These requirements include, but are not limited to the following specialized security screenings:
Microsoft Cloud Background Check: This position will be required to pass the Microsoft Cloud background check upon hire/transfer and every two years thereafter.
While not required, we also look for the following Preferred Qualifications:
2+ year(s) experience in warehouse/supply chain in an information technology (IT) environment, IT, and/or logistics, operating heavy-load movement equipment (e.g., forklift, pallet jacks, chassis lifts) for a large corporation
OR equivalent experience.

Microsoft is an equal opportunity employer. Consistent with applicable law, all qualified applicants will receive consideration for employment without regard to age, ancestry, citizenship, color, family or medical care leave, gender identity or expression, genetic information, immigration status, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran or military status, race, ethnicity, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable local laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application process, read more about requesting accommodations.",2025-08-02,Currently Open
